                         basic                         Descent                       
instance size  best      runtime makespan ecart        runtime makespan ecart        
ft06     6x6     55            2       60   9.1             26       63  14.5        
ft10     10x10  930            0     1319  41.8             13     1239  33.2        
ft20     20x5  1165            0     1672  43.5             12     1717  47.4        
la01     10x5   666            0      858  28.8              5      750  12.6        
la02     10x5   655            0      904  38.0              4      923  40.9        
la03     10x5   597            0      775  29.8              1      762  27.6        
la04     10x5   590            0      854  44.7              2      757  28.3        
la05     10x5   593            0      629   6.1              3      613   3.4        
la06     15x5   926            0     1015   9.6              4      954   3.0        
la07     15x5   890            0     1096  23.1              2      970   9.0        
la08     15x5   863            0     1102  27.7              2     1014  17.5        
la09     15x5   951            0     1024   7.7              1     1115  17.2        
la10     15x5   958            0      958   0.0              2      981   2.4        
la11     20x5  1222            0     1297   6.1              1     1307   7.0        
la12     20x5  1039            0     1205  16.0              1     1122   8.0        
la13     20x5  1150            0     1154   0.3              6     1260   9.6        
la14     20x5  1292            0     1292   0.0              0     1292   0.0        
la15     20x5  1207            0     1586  31.4              2     1415  17.2        
la16     10x10  945            0     1327  40.4              3     1228  29.9        
la17     10x10  784            0      912  16.3              3      982  25.3        
la18     10x10  848            0     1024  20.8              3     1013  19.5        
la19     10x10  842            0     1058  25.7              4     1049  24.6        
la20     10x10  902            0     1259  39.6              4     1206  33.7        
la21     15x10 1046            0     1555  48.7              4     1254  19.9        
la22     15x10  927            0     1360  46.7              7     1201  29.6        
la23     15x10 1032            0     1436  39.1              3     1227  18.9        
la24     15x10  935            0     1245  33.2              4     1208  29.2        
la25     15x10  977            0     1440  47.4              5     1342  37.4        
la26     20x10 1218            0     1759  44.4              5     1629  33.7        
la27     20x10 1235            0     1791  45.0              6     1607  30.1        
la28     20x10 1216            0     1642  35.0              5     1651  35.8        
la29     20x10 1152            0     1686  46.4              8     1587  37.8        
la30     20x10 1355            0     1774  30.9              6     1782  31.5        
la31     30x10 1784            0     2215  24.2              3     2085  16.9        
la32     30x10 1850            0     2421  30.9              4     2375  28.4        
la33     30x10 1719            0     2139  24.4             12     2172  26.4        
la34     30x10 1721            0     2284  32.7              7     2142  24.5        
la35     30x10 1888            0     2498  32.3             11     2487  31.7        
la36     15x15 1268            0     1677  32.3              8     1623  28.0        
la37     15x15 1397            0     2098  50.2              5     1974  41.3        
la38     15x15 1196            0     1766  47.7              6     1666  39.3        
la39     15x15 1233            0     1794  45.5              5     1712  38.8        
la40     15x15 1222            0     1728  41.4              6     1741  42.5        
AVG      -        -          0.0        -  29.9            5.2        -  24.5        
