                         basic                         Descent                       
instance size  best      runtime makespan ecart        runtime makespan ecart        
ft06     6x6     55            2       60   9.1             28       69  25.5        
ft10     10x10  930            0     1319  41.8             22     1757  88.9        
ft20     20x5  1165            0     1672  43.5              5     1577  35.4        
la01     10x5   666            0      858  28.8              2      811  21.8        
la02     10x5   655            0      904  38.0              2      775  18.3        
la03     10x5   597            0      775  29.8              1      769  28.8        
la04     10x5   590            0      854  44.7              2      780  32.2        
la05     10x5   593            0      629   6.1              1      629   6.1        
la06     15x5   926            0     1015   9.6              2     1012   9.3        
la07     15x5   890            0     1096  23.1              3     1023  14.9        
la08     15x5   863            0     1102  27.7              2      952  10.3        
la09     15x5   951            0     1024   7.7              1      957   0.6        
la10     15x5   958            0      958   0.0              3     1057  10.3        
la11     20x5  1222            0     1297   6.1              2     1321   8.1        
la12     20x5  1039            0     1205  16.0              2     1235  18.9        
la13     20x5  1150            0     1154   0.3              2     1327  15.4        
la14     20x5  1292            0     1292   0.0              4     1321   2.2        
la15     20x5  1207            0     1586  31.4              6     1522  26.1        
la16     10x10  945            0     1327  40.4              3     1752  85.4        
la17     10x10  784            0      912  16.3             14     1098  40.1        
la18     10x10  848            0     1024  20.8              7     1244  46.7        
la19     10x10  842            0     1058  25.7              2     1239  47.1        
la20     10x10  902            0     1259  39.6              2     1408  56.1        
la21     15x10 1046            0     1555  48.7              6     1616  54.5        
la22     15x10  927            0     1360  46.7             12     1553  67.5        
la23     15x10 1032            0     1436  39.1              9     1674  62.2        
la24     15x10  935            0     1245  33.2             16     1470  57.2        
la25     15x10  977            0     1440  47.4              8     1472  50.7        
la26     20x10 1218            0     1759  44.4             12     1765  44.9        
la27     20x10 1235            0     1791  45.0              5     1981  60.4        
la28     20x10 1216            0     1642  35.0              5     1947  60.1        
la29     20x10 1152            0     1686  46.4              7     2170  88.4        
la30     20x10 1355            0     1774  30.9             11     2110  55.7        
la31     30x10 1784            0     2215  24.2             13     2490  39.6        
la32     30x10 1850            0     2421  30.9             16     2494  34.8        
la33     30x10 1719            1     2139  24.4             32     2346  36.5        
la34     30x10 1721            0     2284  32.7             20     2411  40.1        
la35     30x10 1888            0     2498  32.3             11     2761  46.2        
la36     15x15 1268            0     1677  32.3              7     2880 127.1        
la37     15x15 1397            0     2098  50.2              9     2410  72.5        
la38     15x15 1196            0     1766  47.7             16     2110  76.4        
la39     15x15 1233            0     1794  45.5             10     2059  67.0        
la40     15x15 1222            1     1728  41.4             19     2435  99.3        
AVG      -        -          0.1        -  29.9            8.4        -  43.9        
