                         basic                         Descent                       
instance size  best      runtime makespan ecart        runtime makespan ecart        
ft06     6x6     55            2       60   9.1             24       81  47.3        
ft10     10x10  930            0     1319  41.8             16     1338  43.9        
ft20     20x5  1165            0     1672  43.5              6     1740  49.4        
la01     10x5   666            0      858  28.8              2      876  31.5        
la02     10x5   655            0      904  38.0              4     1019  55.6        
la03     10x5   597            0      775  29.8              2      958  60.5        
la04     10x5   590            0      854  44.7              6      972  64.7        
la05     10x5   593            0      629   6.1              2      879  48.2        
la06     15x5   926            0     1015   9.6              3     1151  24.3        
la07     15x5   890            0     1096  23.1              2     1163  30.7        
la08     15x5   863            0     1102  27.7              3     1215  40.8        
la09     15x5   951            0     1024   7.7              2     1268  33.3        
la10     15x5   958            0      958   0.0              5     1159  21.0        
la11     20x5  1222            0     1297   6.1              4     1497  22.5        
la12     20x5  1039            0     1205  16.0              4     1363  31.2        
la13     20x5  1150            0     1154   0.3              3     1540  33.9        
la14     20x5  1292            1     1292   0.0              6     1360   5.3        
la15     20x5  1207            0     1586  31.4              4     1546  28.1        
la16     10x10  945            0     1327  40.4              9     1494  58.1        
la17     10x10  784            0      912  16.3              8     1296  65.3        
la18     10x10  848            1     1024  20.8              5     1440  69.8        
la19     10x10  842            0     1058  25.7              3     1619  92.3        
la20     10x10  902            0     1259  39.6              8     1401  55.3        
la21     15x10 1046            0     1555  48.7              6     1585  51.5        
la22     15x10  927            0     1360  46.7              4     1696  83.0        
la23     15x10 1032            0     1436  39.1              4     1680  62.8        
la24     15x10  935            3     1245  33.2              5     1795  92.0        
la25     15x10  977            0     1440  47.4              4     1661  70.0        
la26     20x10 1218            0     1759  44.4              8     2025  66.3        
la27     20x10 1235            0     1791  45.0              9     2083  68.7        
la28     20x10 1216            0     1642  35.0              4     2033  67.2        
la29     20x10 1152            0     1686  46.4              3     2023  75.6        
la30     20x10 1355            0     1774  30.9              8     2105  55.4        
la31     30x10 1784            0     2215  24.2             15     2639  47.9        
la32     30x10 1850            0     2421  30.9             15     2894  56.4        
la33     30x10 1719            0     2139  24.4              7     2735  59.1        
la34     30x10 1721            0     2284  32.7             13     2530  47.0        
la35     30x10 1888            0     2498  32.3              7     2783  47.4        
la36     15x15 1268            0     1677  32.3             14     2236  76.3        
la37     15x15 1397            0     2098  50.2             12     2526  80.8        
la38     15x15 1196            0     1766  47.7              5     2194  83.4        
la39     15x15 1233            0     1794  45.5             10     2208  79.1        
la40     15x15 1222            0     1728  41.4              9     2252  84.3        
AVG      -        -          0.2        -  29.9            6.8        -  55.0        
