                         basic                         Descent                       
instance size  best      runtime makespan ecart        runtime makespan ecart        
ft06     6x6     55            1       60   9.1             27       90  63.6        
ft10     10x10  930            0     1319  41.8             32     2128 128.8        
ft20     20x5  1165            0     1672  43.5              9     2030  74.2        
la01     10x5   666            0      858  28.8              3     1099  65.0        
la02     10x5   655            0      904  38.0              3     1222  86.6        
la03     10x5   597            0      775  29.8              1      921  54.3        
la04     10x5   590            0      854  44.7              2     1118  89.5        
la05     10x5   593            0      629   6.1              3     1046  76.4        
la06     15x5   926            0     1015   9.6             11     1506  62.6        
la07     15x5   890            0     1096  23.1             13     1331  49.6        
la08     15x5   863            0     1102  27.7              7     1630  88.9        
la09     15x5   951            0     1024   7.7             15     1660  74.6        
la10     15x5   958            0      958   0.0              3     1857  93.8        
la11     20x5  1222            0     1297   6.1             12     2038  66.8        
la12     20x5  1039            0     1205  16.0              8     1731  66.6        
la13     20x5  1150            1     1154   0.3              7     2195  90.9        
la14     20x5  1292            0     1292   0.0             10     1976  52.9        
la15     20x5  1207            0     1586  31.4              6     2071  71.6        
la16     10x10  945            0     1327  40.4              5     2399 153.9        
la17     10x10  784            0      912  16.3              6     2191 179.5        
la18     10x10  848            0     1024  20.8              6     2116 149.5        
la19     10x10  842            0     1058  25.7              6     2522 199.5        
la20     10x10  902            0     1259  39.6              4     2446 171.2        
la21     15x10 1046            0     1555  48.7              7     2976 184.5        
la22     15x10  927            0     1360  46.7              9     2770 198.8        
la23     15x10 1032            0     1436  39.1              6     3310 220.7        
la24     15x10  935            0     1245  33.2              9     3236 246.1        
la25     15x10  977            0     1440  47.4             18     3255 233.2        
la26     20x10 1218            0     1759  44.4             19     4981 308.9        
la27     20x10 1235            0     1791  45.0             34     4365 253.4        
la28     20x10 1216            1     1642  35.0             13     4514 271.2        
la29     20x10 1152            0     1686  46.4             26     3914 239.8        
la30     20x10 1355            0     1774  30.9             15     4277 215.6        
la31     30x10 1784            0     2215  24.2             28     4955 177.7        
la32     30x10 1850            0     2421  30.9             45     5763 211.5        
la33     30x10 1719            0     2139  24.4             52     5521 221.2        
la34     30x10 1721            0     2284  32.7             62     6082 253.4        
la35     30x10 1888            0     2498  32.3             42     5372 184.5        
la36     15x15 1268            0     1677  32.3             17     5386 324.8        
la37     15x15 1397            0     2098  50.2             16     5794 314.7        
la38     15x15 1196            0     1766  47.7             11     4988 317.1        
la39     15x15 1233            0     1794  45.5             20     4801 289.4        
la40     15x15 1222            0     1728  41.4             18     4459 264.9        
AVG      -        -          0.1        -  29.9           15.5        - 166.1        
